,重量,貨名,單價,單位,倉位,date,Origin,brand,name,grade,category
157,抄,美 i. b. p. 牛仔骨 3 支骨 choice p-278/245e,$ 4 8.0,磅,其士,3-april-23.pdf,美,ibp,牛仔骨,,Beef
158,抄,美 showcase 牛仔骨 3 支骨 select,$ 3 0.0,磅,其士,3-april-23.pdf,美,showcase,牛仔骨,,Beef
159,抄,美 i. b. p. 肥牛肉肩胛 prime p-245l,$ 8 2.0,磅,其士,3-april-23.pdf,美,ibp,肩胛,,Beef
160,抄,美 i. b. p. 肥牛肉肩胛 prime p-278,$ 8 2.0,磅,其士,3-april-23.pdf,美,ibp,肩胛,,Beef
161,抄,美 i. b. p. 肥牛肉肩胛 cab p-245l,$ 5 3.0,磅,其士,3-april-23.pdf,美,ibp,肩胛,,Beef
162,抄,美 i. b. p. 肥牛肉肩胛 cab p-245e,$ 5 3.0,磅,其士,3-april-23.pdf,美,ibp,肩胛,,Beef
163,抄,美 i. b. p. 肥牛肉肩胛 cab p-278,$ 5 3.0,磅,其士,3-april-23.pdf,美,ibp,肩胛,,Beef
164,抄,加 canadian diamond 去骨牛小排 cab p-38,$ 108.0,磅,其士,3-april-23.pdf,加,canadian diamond,去骨牛小排,,Beef
165,抄,巴 alegra 分包 豬肋排,$ 1 2.0,磅,其士,3-april-23.pdf,巴,alegra,豬肋排,分包,Pork
166,抄**,巴 alibem 分包 豬肋排,$ 1 2.5,磅,其士,3-april-23.pdf,巴,alibem,豬肋排,分包,Pork
167,22kg,巴 palmali 餅裝 豬肋排,$ 8 .4,磅,其士,3-april-23.pdf,巴,palmali,豬肋排,餅裝,Pork
168,抄,美 smithfield 豬肋排 st. louis style,$ 3 3.0,磅,其士,3-april-23.pdf,美,smithfield,豬肋排,,Pork
169,抄,巴 palmali 豬四肉,$ 1 2.5,磅,其士,3-april-23.pdf,巴,palmali,豬四肉,,Pork
170,抄,西 artigas duroc 豬梅肉,$ 3 2.0,磅,其士,3-april-23.pdf,西,artigas duroc,豬梅肉,,Pork
171,抄,西 artigas duroc 豬下梅肉,$ 3 0.0,磅,其士,3-april-23.pdf,西,artigas duroc,豬下梅肉,,Pork
172,抄,西 artigas duroc 豬扒法式,$ 4 1.0,磅,其士,3-april-23.pdf,西,artigas duroc,豬扒,,Pork
173,抄,西 artigas duroc 豬肋條,$ 3 8.0,磅,其士,3-april-23.pdf,西,artigas duroc,豬肋條,,Pork
174,抄,西 artigas duroc 豬腩無皮挑骨,$ 2 9.0,磅,其士,3-april-23.pdf,西,artigas duroc,豬腩無皮挑骨,挑骨,Pork
175,抄,西 pernam ibericos 豬腩 (去皮),$ 7 0.0,kg,其士,3-april-23.pdf,西,pernam ibericos,豬腩 (去皮),,Pork
176,抄,西 pernam ibericos 豬背骨,$ 6 5.0,kg,其士,3-april-23.pdf,西,pernam ibericos,豬背骨,,Pork
177,抄,西 jamondul ibericos 豬梅肉,$ 198.0,kg,其士,3-april-23.pdf,西,jamondul ibericos,豬梅肉,,Pork
178,抄,西 jamondul ibericos 豬下梅肉,$ 130.0,kg,其士,3-april-23.pdf,西,jamondul ibericos,豬下梅肉,,Pork
179,抄,西 jamondul ibericos 豬肋條,$ 125.0,kg,其士,3-april-23.pdf,西,jamondul ibericos,豬肋條,,Pork
180,20kg,巴 alegra 豬大腸,$ 6 .5,磅,其士,3-april-23.pdf,巴,alegra,豬大腸,,Pork
181,10kg,巴 aurora 豬大腸,$ 8 .3,磅,其士,3-april-23.pdf,巴,aurora,豬大腸,,Pork
182,18kg,巴 seara 豬大腸,$ 7 .0,磅,其士,3-april-23.pdf,巴,seara,豬大腸,,Pork
183,16kg,巴 frimesa 豬大腸,$ 8 .8,磅,其士,3-april-23.pdf,巴,frimesa,豬大腸,,Pork
184,10kg,挪 威 豬 手 (短),$ 1 .4,磅,其士,3-april-23.pdf,挪 威,,挪 威 豬 手 (短),短,Pork
185,抄,英 國 牛坑腩 uk-9012,$ 8 .0,磅,其士,29-jan-24 updated.pdf,英 國,hewitt,牛坑腩,,Beef
186,抄,美 ibp 牛下肩肉眼卷(1x1) prime,$ 4 3.0,磅,其士,29-jan-24 updated.pdf,美,ibp,牛下肩肉眼卷,1x1,Beef
187,抄,美 ibp 牛下肩肉眼卷(1x1) cab,$ 4 0.0,磅,其士,29-jan-24 updated.pdf,美,ibp,牛下肩肉眼卷,1x1,Beef
188,抄,加 excel 牛下肩肉眼卷(1x1) cab p-93,$ 3 9.0,磅,其士,29-jan-24 updated.pdf,加,excel,牛下肩肉眼卷,1x1,Beef
189,12kg,阿 ifssa 牛面肉,$ 1 1.5,磅,其士,29-jan-24 updated.pdf,阿,ifssa,牛面肉,,Beef
190,抄,巴 pul 牛細腩包,$ 1 5.0,磅,其士,29-jan-24 updated.pdf,巴,pul,牛細腩包,,Beef
191,抄,巴 plena 牛細腩包,$ 1 3.5,磅,其士,29-jan-24 updated.pdf,巴,plena,牛細腩包,,Beef
192,抄,巴 dom glutao 牛冧,$ 1 8.8,磅,其士,29-jan-24 updated.pdf,巴,dom glutao,牛冧,,Beef
193,抄,巴 gejota 牛冧,$ 1 9.4,磅,其士,29-jan-24 updated.pdf,巴,gejota,牛冧,,Beef
194,抄,巴 gold beef 牛冧,$ 1 8.8,磅,其士,29-jan-24 updated.pdf,巴,gold beef ,牛冧,,Beef
195,抄,澳 midfield 牛冧,$ 2 4.0,磅,其士,29-jan-24 updated.pdf,澳,midfield,牛冧,,Beef
