,productName,productTag,supplier,category,packing,origin,brand,effectiveDate,spec1,spec2,spec3,spec4,spec5,spec6,price,weightUnit,warehouse,notes
158,抄碼 TONNIES 去皮挑骨豬腩(去軟骨),挑骨豬腩,萬祥,PORK,抄,德國,TONNIES,2023-08-22,去皮,去軟骨,挑骨,,,,15.0,lb,裕林,
159,25KG 王者至尊梅肉 (靚),豬梅肉,萬祥,PORK,25kg,中國,王者至尊,2023-08-22,,,,,,,58.0,kg,裕林,
160,25KG 精品豬肉青(綠字) 200G+,豬肉青,萬祥,PORK,25kg,中國,,2023-08-22,+200G,,,,,,35.0,kg,裕林,
161,"20KG 豬寸骨(1KG/包, 啡盒)",豬寸骨,萬祥,PORK,20kg,中國,,2023-08-22,,,,,,,53.0,kg,裕林,
163,15KG PIFPAF 雞中翼 35G+(蜂巢層裝),雞中翼,萬祥,CHICKEN,15kg,巴西,PIF PAF,2023-08-22,35G+,層裝,,,,,11.5,lb,裕林,
164,15KG PIFPAF 雞中翼 40G+(蜂巢層裝),雞中翼,萬祥,CHICKEN,15kg,巴西,PIF PAF,2023-08-22,40G+,層裝,,,,,11.5,lb,裕林,
165,15KG CASE FARM 鳳爪,鳳爪,萬祥,CHICKEN,15kg,美國,CASEFARM,2023-08-22,,,,,,,7.8,lb,裕林,
167,15KG 納晨 300+雞扒,雞扒,萬祥,CHICKEN,15kg,中國,納晨,2023-08-22,+300G,,,,,,8.2,lb,裕林,
168,12KG 納晨帶皮雞上脾,雞上脾,萬祥,CHICKEN,12kg,中國,納晨,2023-08-22,帶皮,,,,,,15.8,kg,嘉威,
168,12KG 納晨帶皮雞上脾,雞上脾,萬祥,CHICKEN,12kg,中國,納晨,2023-08-22,帶皮,,,,,,15.8,kg,裕林,
169,12KG 納晨去皮雞上脾,雞上脾,萬祥,CHICKEN,12kg,中國,納晨,2023-08-22,去皮,,,,,,18.0,kg,裕林,
170,12KG 納晨 去皮雞大胸,雞大胸,萬祥,CHICKEN,12kg,中國,納晨,2023-08-22,去皮,,,,,,14.5,kg,裕林,
171,10KG 納晨 IQF雞小胸,雞柳,萬祥,CHICKEN,10kg,中國,納晨,2023-08-22,IQF,,,,,,15.3,kg,嘉威,
171,10KG 納晨 IQF雞小胸,雞柳,萬祥,CHICKEN,10kg,中國,納晨,2023-08-22,IQF,,,,,,15.3,kg,裕林,
172,A4 和牛肉眼西冷,和牛肉眼,萬祥,WAGYU,,日本,,2023-08-22,A4,,,,,,580.0,kg,裕林,
173,A5 和牛肉眼西冷,和牛肉眼,萬祥,WAGYU,,日本,,2023-08-22,A5,,,,,,620.0,kg,裕林,
174,A5特 和牛肉眼西冷,和牛肉眼,萬祥,WAGYU,,日本,,2023-08-22,A5,A5特,,,,,700.0,kg,裕林,
176,A4 和牛肉眼 (細切),和牛肉眼,萬祥,WAGYU,,日本,,2023-08-22,A4,細切,,,,,,kg,裕林,
177,A4 和牛西冷(細切),和牛西冷,萬祥,WAGYU,,日本,,2023-08-22,A4,細切,,,,,560.0,kg,裕林,
178,A5 和牛肉眼(細切),和牛肉眼,萬祥,WAGYU,,日本,,2023-08-22,A5,細切,,,,,620.0,kg,裕林,
179,A5 和牛西冷(細切),和牛西冷,萬祥,WAGYU,,日本,,2023-08-22,A5,細切,,,,,640.0,kg,裕林,
180,和牛上腦(細切),和牛上腦,萬祥,WAGYU,,日本,,2023-08-22,細切,,,,,,,kg,裕林,
181,和牛三角肥牛(細切),和牛三角,萬祥,WAGYU,,日本,,2023-08-22,細切,,,,,,,kg,裕林,
184,A5特 和牛牛柳,和牛牛柳,萬祥,WAGYU,,日本,,2023-08-22,A5,A5特,,,,,720.0,kg,裕林,
185,A5特 和牛牛冧,和牛牛冧,萬祥,WAGYU,,日本,,2023-08-22,A5,A5特,,,,,,kg,裕林,
186,A5特 和牛針扒,和牛針扒,萬祥,WAGYU,,日本,,2023-08-22,A5,A5特,,,,,360.0,kg,裕林,
187,A5特 和牛燴扒,和牛燴扒,萬祥,WAGYU,,日本,,2023-08-22,A5,A5特,,,,,360.0,kg,裕林,
188,A5特 和牛尾扒,和牛尾扒,萬祥,WAGYU,,日本,,2023-08-22,A5,A5特,,,,,,kg,裕林,
189,和牛三筋(板鍵),和牛三筋,萬祥,WAGYU,,日本,,2023-08-22,,,,,,,530.0,kg,裕林,
190,和牛肉眼蓋,和牛肉眼,萬祥,WAGYU,,日本,,2023-08-22,,,,,,,380.0,kg,裕林,
191,和牛牛柳,和牛牛柳,萬祥,WAGYU,,日本,,2023-08-22,,,,,,,700.0,kg,裕林,
192,和牛牛腩排,和牛牛腩,萬祥,WAGYU,,日本,,2023-08-22,,,,,,,,kg,裕林,
193,和牛牛胸,和牛牛胸,萬祥,WAGYU,,日本,,2023-08-22,,,,,,,340.0,kg,裕林,
194,和牛牛仔骨,和牛牛仔骨,萬祥,WAGYU,,日本,,2023-08-22,,,,,,,340.0,kg,裕林,
195,和牛三角肥牛,和牛三角,萬祥,WAGYU,,日本,,2023-08-22,,,,,,,430.0,kg,裕林,
196,和牛上腦,和牛上腦,萬祥,WAGYU,,日本,,2023-08-22,,,,,,,340.0,kg,裕林,
197,和牛牛冧,和牛牛冧,萬祥,WAGYU,,日本,,2023-08-22,,,,,,,,kg,裕林,
198,和牛針扒,和牛針扒,萬祥,WAGYU,,日本,,2023-08-22,,,,,,,,kg,裕林,
199,和牛燴扒,和牛燴扒,萬祥,WAGYU,,日本,,2023-08-22,,,,,,,,kg,裕林,
200,和牛尾扒,和牛尾扒,萬祥,WAGYU,,日本,,2023-08-22,,,,,,,340.0,kg,裕林,
201,和牛小肉,和牛小肉,萬祥,WAGYU,,日本,,2023-08-22,,,,,,,200.0,kg,裕林,
203,抄碼 245E廠 IBP PRIME 三角肥牛,肩胛肥牛肉,萬祥,BEEF,抄,美國,IBP,2023-11-27,245E廠,PRIME,,,,,80.0,lb,光1,
204,抄碼 86K廠 EXCEL CHOICE 三支牛仔骨,牛仔骨,萬祥,BEEF,抄,美國,EXCEL,2023-11-27,86K廠,CHOICE,,,,,46.0,lb,裕林,
205,抄碼 86E/86R 廠 EXCEL CAB 三支牛仔骨,牛仔骨,萬祥,BEEF,抄,美國,EXCEL,2023-11-27,86R廠,CAB,,,,,50.0,lb,裕林,
206,抄碼 86M 廠 EXCEL 肥牛(SHORT PLATE),SHORT PLATE肥牛,萬祥,BEEF,抄,美國,EXCEL,2023-11-27,86M廠,,,,,,20.8,lb,裕林,
208,抄碼 NEW BRAND牛舌900G+,牛舌,萬祥,BEEF,抄,巴西,NEW BRAND,2023-11-27,+900G,,,,,,9.3,lb,裕林,
209,"抄碼 PLENA 牛舌900G+(直利, 大條)",牛舌,萬祥,BEEF,抄,巴西,PLENA,2023-11-27,+900G,直,,,,,9.8,lb,裕林,
210,抄碼 RAMAX 西冷 3.5KG+,西冷,萬祥,BEEF,抄,巴西,RAMAX,2023-11-27,3.5K+,,,,,,21.8,lb,裕林,
211,抄碼 RAMAX 牛柳頭 1.5KG+,牛柳頭,萬祥,BEEF,抄,巴西,RAMAX,2023-11-27,1.5K+,,,,,,22.4,lb,裕林,
212,抄碼 PLENA 牛柳頭1KG+,牛柳頭,萬祥,BEEF,抄,巴西,PLENA,2023-11-27,,,,,,,21.3,lb,裕林,
213,抄碼 PLENA 牛肋條,牛肋條,萬祥,BEEF,抄,巴西,PLENA,2023-11-27,,,,,,,26.5,lb,裕林,
